[0326/203430.129:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0427/073910.974:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0427/073910.974:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0427/073910.974:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0427/073910.974:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0427/073910.974:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0427/073910.980:WARNING:stun_port.cc(426)] Port[c2ca310:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0427/074056.553:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0427/074056.553:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0427/074056.553:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0427/074056.553:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0427/074056.553:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0427/074056.554:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0427/074056.554:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0427/074056.554:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0427/074056.680:WARNING:stun_port.cc(426)] Port[d9ed928:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0427/074245.599:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0427/074245.599:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0427/074245.599:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0427/074245.599:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0427/074245.599:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0427/074245.599:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0427/074245.599:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0427/074245.599:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0427/074245.781:WARNING:stun_port.cc(426)] Port[c2c9cc0:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0427/074321.214:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0427/074321.214:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0427/074321.214:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0427/074321.214:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0427/074321.215:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0427/074321.215:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0427/074321.215:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0427/074321.215:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0427/074321.219:WARNING:stun_port.cc(426)] Port[d9edc50:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0427/074606.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0427/074606.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0427/074606.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0427/074606.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0427/074606.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0427/074606.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0427/074606.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0427/074606.672:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0427/074607.125:WARNING:stun_port.cc(426)] Port[d9ed928:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0427/074700.321:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0427/074700.321:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0427/074700.321:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0427/074700.321:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0427/074700.321:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0427/074700.321:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0427/074700.321:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0427/074700.321:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0427/074700.325:WARNING:stun_port.cc(426)] Port[c2c9cc0:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0427/075051.254:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0427/075051.254:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0427/075051.254:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0427/075051.254:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0427/075051.254:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0427/075051.254:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0427/075051.254:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0427/075051.254:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0427/075051.312:WARNING:stun_port.cc(426)] Port[c2c9cc0:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0428/124205.984:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0428/124205.984:ERROR:process_reader_win.cc(123)] NtOpenThread: {无法访问} 过程已请求访问一对象，但未给访问权限。 (0xc0000022)
[0428/124205.999:ERROR:exception_snapshot_win.cc(98)] thread ID 6496 not found in process
[0428/124205.999:ERROR:exception_snapshot_win.cc(98)] thread ID 5604 not found in process
[0428/125036.025:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0428/125036.032:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0428/125036.033:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0428/125036.033:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0428/125036.033:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0428/125036.033:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0428/125036.033:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0428/125036.033:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0428/125036.861:WARNING:stun_port.cc(426)] Port[b251080:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0428/125248.578:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0428/125248.578:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0428/125248.578:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0428/125248.578:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0428/125248.579:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0428/125248.579:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0428/125248.579:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0428/125248.579:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0428/125248.595:WARNING:stun_port.cc(426)] Port[90ea8d8:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0428/125330.384:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0428/125330.384:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0428/125330.384:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0428/125330.384:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0428/125330.384:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0428/125330.384:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0428/125330.384:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0428/125330.384:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0428/125330.417:WARNING:stun_port.cc(426)] Port[b1a02c0:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0428/125602.098:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0428/125602.098:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0428/125602.098:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0428/125602.098:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0428/125602.098:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0428/125602.098:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0428/125602.098:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0428/125602.099:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0428/125602.141:WARNING:stun_port.cc(426)] Port[b19fbb0:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0428/125631.477:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0428/125631.477:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0428/125631.477:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0428/125631.477:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0428/125631.478:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
[0428/125631.478:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 105 to 121
[0428/125631.478:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 111 to 120
[0428/125631.478:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 109 to 119
[0428/125631.509:WARNING:stun_port.cc(426)] Port[539b158:data:1:0:local:Net[any:0:0:0:x:x:x:x:x/0:Wildcard:id=0]]: StunPort: stun host lookup received error 0
[0428/125841.833:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 104 to 127
[0428/125841.833:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 106 to 125
[0428/125841.833:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 110 to 124
[0428/125841.833:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 112 to 123
[0428/125841.833:WARNING:media_session.cc(334)] Duplicate id found. Reassigning from 103 to 122
